This file was downloaded on 13 Jan 2026;;;;;;
;;;;;;
Holdings details;;;;;;
Vanguard FTSE All-World UCITS ETF (USD) Distributing;;;;;;
As at 30 Nov 2025;;;;;;
;;;;;;
Ticker;Holding name;% of market value;Sector;Region;Market value;Shares
6098;Recruit Holdings Co Ltd;0.0743%;Industrials;JP;US$38,649,356.19;753,339
DASH;DoorDash Inc;0.0742%;Technology;US;US$38,583,163.37;194,501
CNQ;Canadian Natural Resources Ltd;0.074%;Energy;CA;US$38,504,688.00;1,135,070
3690;Meituan;0.0739%;Technology;HK;US$38,462,027.01;2,921,463
ITW;Illinois Tool Works Inc;0.0737%;Industrials;US;US$38,344,249.60;153,820
DG;Vinci SA;0.0731%;Industrials;FR;US$38,005,080.61;267,873
GM;General Motors Co;0.0728%;Consumer Discretionary;US;US$37,892,649.12;515,406
TEL;TE Connectivity PLC;0.0721%;Technology;US;US$37,521,224.95;165,913
VRT;Vertiv Holdings Co;0.0721%;Technology;US;US$37,510,369.92;208,704
MAR;Marriott International Inc/MD;0.0719%;Consumer Discretionary;US;US$37,379,750.39;122,641
CMI;Cummins Inc;0.0713%;Industrials;US;US$37,119,429.20;74,540
1398;Industrial & Commercial Bank of China Ltd;0.0712%;Financials;HK;US$37,048,032.26;44,789,000
COR;Cencora Inc;0.071%;Consumer Staples;US;US$36,952,397.73;100,161
8031;Mitsui & Co Ltd;0.071%;Industrials;JP;US$36,941,651.39;1,390,100
HLT;Hilton Worldwide Holdings Inc;0.071%;Consumer Discretionary;US;US$36,931,052.07;129,569
CP;Canadian Pacific Kansas City Ltd;0.0707%;Industrials;CA;US$36,796,801.83;506,733
ECL;Ecolab Inc;0.0704%;Basic Materials;US;US$36,623,520.84;133,099
PWR;Quanta Services Inc;0.0702%;Industrials;US;US$36,512,140.08;78,541
NSC;Norfolk Southern Corp;0.0701%;Industrials;US;US$36,446,698.11;124,779
RCL;Royal Caribbean Cruises Ltd;0.07%;Consumer Discretionary;US;US$36,415,811.25;136,773
CSX;CSX Corp;0.0698%;Industrials;US;US$36,326,459.52;1,027,332
AZO;AutoZone Inc;0.0695%;Consumer Discretionary;US;US$36,138,621.87;9,139
ANZ;ANZ Group Holdings Ltd;0.0693%;Financials;AU;US$36,045,466.12;1,586,724
NWG;NatWest Group PLC;0.0691%;Financials;GB;US$35,964,509.33;4,293,424
GLW;Corning Inc;0.0685%;Technology;US;US$35,619,968.00;423,040
BA/;BAE Systems PLC;0.0684%;Industrials;GB;US$35,580,300.15;1,626,965
TRV;Travelers Cos Inc/The;0.0682%;Financials;US;US$35,456,560.20;121,070
ADSK;Autodesk Inc;0.0681%;Technology;US;US$35,422,831.84;116,776
AEP;American Electric Power Co Inc;0.0679%;Utilities;US;US$35,339,553.02;285,526
2454;MediaTek Inc;0.0671%;Technology;TW;US$34,882,511.71;784,794
388;Hong Kong Exchanges & Clearing Ltd;0.0668%;Financials;HK;US$34,746,223.80;658,200
CL;Colgate-Palmolive Co;0.0667%;Consumer Staples;US;US$34,695,761.27;431,593
8766;Tokio Marine Holdings Inc;0.0664%;Financials;JP;US$34,515,535.41;977,700
9983;Fast Retailing Co Ltd;0.0662%;Consumer Discretionary;JP;US$34,419,480.94;94,000
CTAS;Cintas Corp;0.066%;Industrials;US;US$34,322,364.18;184,509
6861;Keyence Corp;0.0657%;Industrials;JP;US$34,189,400.83;100,400
DBK;Deutsche Bank AG;0.0657%;Financials;DE;US$34,183,600.64;962,256
SRE;Sempra;0.0657%;Utilities;US;US$34,183,784.96;360,893
AJG;Arthur J Gallagher & Co;0.0654%;Financials;US;US$34,047,997.62;137,501
NET;Cloudflare Inc;0.0646%;Technology;US;US$33,625,870.13;167,953
MSI;Motorola Solutions Inc;0.0638%;Telecommunications;US;US$33,180,628.40;89,755
FCX;Freeport-McMoRan Inc;0.0637%;Basic Materials;US;US$33,131,992.60;770,870
TFC;Truist Financial Corp;0.0637%;Financials;US;US$33,114,556.50;712,141
MPC;Marathon Petroleum Corp;0.0635%;Energy;US;US$33,016,435.25;170,425
INFO;Infosys Ltd;0.0634%;Technology;IN;US$32,956,878.13;1,889,565
MFC;Manulife Financial Corp;0.0632%;Financials;CA;US$32,881,430.24;926,589
ITX;Industria de Diseno Textil SA;0.0632%;Consumer Discretionary;ES;US$32,862,351.43;586,864
FDX;FedEx Corp;0.0631%;Industrials;US;US$32,821,358.08;119,056
VST;Vistra Corp;0.0628%;Utilities;US;US$32,653,933.62;182,567
IDXX;IDEXX Laboratories Inc;0.0627%;Health Care;US;US$32,631,324.96;43,342
WES;Wesfarmers Ltd;0.0627%;Consumer Discretionary;AU;US$32,635,149.52;607,766
PYPL;PayPal Holdings Inc;0.0626%;Industrials;US;US$32,558,615.71;519,359
EOG;EOG Resources Inc;0.0623%;Energy;US;US$32,426,504.55;300,663
SPG;Simon Property Group Inc;0.062%;Real Estate;US;US$32,259,258.48;173,139
ABI;Anheuser-Busch InBev SA/NV;0.062%;Consumer Staples;BE;US$32,242,156.70;523,987
RBLX;ROBLOX Corp;0.0613%;Consumer Discretionary;US;US$31,911,454.12;335,804
STX;Seagate Technology Holdings PLC;0.0612%;Technology;US;US$31,809,942.54;114,966
CSL;CSL Ltd;0.0609%;Health Care;AU;US$31,661,421.72;259,147
LSEG;London Stock Exchange Group PLC;0.0608%;Financials;GB;US$31,648,595.56;268,138
COIN;Coinbase Global Inc;0.0606%;Financials;US;US$31,528,716.12;115,566
ZTS;Zoetis Inc;0.0605%;Health Care;US;US$31,453,192.94;245,383
ARGX;Argenx SE;0.0603%;Health Care;BE;US$31,381,882.39;34,561
WDC;Western Digital Corp;0.0602%;Technology;US;US$31,292,884.69;191,593
NU;NU Holdings Ltd/Cayman Islands;0.0599%;Financials;US;US$31,141,925.05;1,790,795
